,amount,block,missing,sender,txhash,time
21,2.5,4384063,99922844.748792058,0xea298Fd724D4e7C74cEDc6704D81672704A2317f,0xd2e3cfc89f21a72e683f58430beed65712205f5bf01b3f1af1635fc00be04586,1310
22,2.5,4384063,99922842.248792058,0xaf6C52B4A46bf74022A7CfC46A85DD9a7bc31F26,0x469c974189245eb2c0d6e1beca564d7d0f0ff9287e99cc640b9cc285024cec9a,1310
25,2.5,4384064,99924887.7465542667,0xF54E67b1048870174F217B51fA9CD57777BfdB22,0xd5b827fef35baaee5439b0fb9f61df5b9e5aa2f867ea7c2cee339b10a49a5dcc,1347
23,2.53,4384064,99924930.2765542667,0x5983058E431E3131E75042BfCC4725C41c36A729,0x3348dba605ded712e4910fcd7200d91c3aa8ae47dc778915b348ccb2f4882fdf,1347
24,40,4384064,99924927.7465542667,0xE31e4BE4a7c65fbF14FF16ED654Bd06B3A1c6750,0x6adfc905cb1746cedef8d32a7b1c5ac25bf4dd9664a74406b59d5afc8275e48d,1347
26,10.394862624,4384065,99927019.99052641685,0xc61878107BcA9D0Fc85Fbe65F033aa9C92635194,0xcb16b7b19514a1870c951f5ce49d5c9087d15b09c599da4c9b0060dae488dd2c,1387
27,5,4384065,99927009.59566379285,0xa7a78b74bd1ACf9D35a12B4593c8F291Bcc63D67,0x2141b9549f143b12d7ebbe7d8769f80de90f4862c009dd28351b60988b2af985,1387
28,1.99,4384065,99927004.59566379285,0x7ED06e42f0E3367532533Ae21Ab2786F7e6A61E6,0xf10c6b903afcb7693f67020a221713e0ee742f600ba265231001323fbaba85f4,1387
29,10,4384065,99927002.60566379285,0x001AD8E92592570E989Ca076e2d5E4c1638cD3c5,0xcceda69df1da860d8e8b129c69fe09fd8862b39e79db1b64fdacdf583cfeeee5,1387
30,10,4384066,99927404.8847788151,0xc88b2107B1fC70AB07BFbefEB143F2c0e3c334C8,0x9d396c154ca19f5dd7c0978ce435a422deeac8f8066a7c05815d42f843198751,1395
31,0.784,4384067,99927903.64072299235,0xC51E66fadc27Ab84325A41e016E035A4665611C5,0x8e665ef16e6a819a370a1b22b4969893bb497c37048e5184bc523ab00f40e4bf,1405
32,2.5,4384067,99927902.85672299235,0xcfb6690FCc120501bf42577672A978C11C40f51a,0x071429401ddfeb586570e833420b2e8f91eabcb14280eb793195aa6493fb88a8,1405
33,5,4384067,99927900.35672299235,0xD891769Ecec9dC911441a15B1a090cC9af1D9eEe,0x013bf18c92e5f9425afc4dd7cdec92aaf86c690134c8ec736f316159587c1121,1405
35,1.135,4384069,99928741.3430234324,0xb49456cFA932768E3ABd5fE15101d2aAbbbeEb60,0xff524af668932fdbefa4fa63acaf18e224e4daffac0c2c3fe9a248b11f477b25,1422
34,2.5,4384069,99928743.8430234324,0x59eaa39805109c45538646bdfcC2E5F9654dfdAB,0xa10329925c01e0d2b081e4ba171f9a79f77a6eb0ba35dac57f1a41e0c8991320,1422
36,0.1,4384070,99929132.5248899191,0x08c38D9106d670325C94Cb171b3378Da1Adc17EB,0xb3128b555ec2444861c1b86b87360e29fed6b1d66a62d695a0ed1e3a01150ca8,1430
37,21.9,4384070,99929132.4248899191,0xB9F9D6B531546E4c80058BEe5749D72ffC76b54F,0x850d0aa9b6f74c2fa3152ec80a52dd6e1c0cc606ad4fc35822a7a13df199024d,1430
38,2.45,4384071,99929690.8495622291,0x5842AF99Ea61aC0E856a953335503a660d463c98,0x2b7551ed1d419fe8ece541242031e469f9a8a8c57745d8858e09fd8883a5d451,1442
39,28.7,4384071,99929688.3995622291,0x9505eA825Ca9bc29d21446a6584c6771B21f193c,0xb365b009168e14a32c212575aaddda1c064905fbdd6ba961620d500b2bf1acd1,1442
40,1,4384075,99864503.17497401835,0xe9620D4f82BA037c9C52E35EA694e6c0705dc148,0x6459ce93bd7aa1217c94ff0d3d05c6867046cc1056f5142bf91ee99bb590b920,1485
41,2.5,4384075,99864502.17497401835,0x00252a86c411c54a581d1259B5300Be5DC7A8Aa2,0x44a3ff98b5db7c1deec90f46e2a470ac519c8d8e05621f7a197d09e2928ec742,1485
42,2.5,4384075,99864499.67497401835,0xB08Bde5979dCF7276c97335c60a2D2c334632d3f,0x71f3c8397177ce375bcad4d32de8f6df36862243ad1ea7ee5ddf3b266738dc3c,1485
43,2.499402551,4384077,99865572.44379122265,0x5d7903b746e1AbdF87f253049C0D27e93229162e,0x6ff1b78746b80532cbf6ef57fa0e23fc42b4c375c458213d3afea51e21072f14,1497
44,20,4384079,99868098.83037079505,0x0086ccB4B36a2A27264b2D9A18D98C93b246b7aa,0xfa7fb71ac9a9bf673c6897d9f410defa62f2e740c9cb51c84b5f2854239454d1,1526
49,1,4384082,99871212.1573138417,0x383F42b5De515C564641f65f5da3BD8b4a35B4B4,0x53145f50c574ab5d4a13161fd2f32902426fb1c62108594417c64c8688531e13,1565
48,17.5,4384082,99871229.6573138417,0x851312417F5301B7d844618E9d36f1C3089F85E9,0x0d401d4f7271f0bfd27cf2d38ca54209cf53cdeb1e543645e37078b75822e774,1565
45,1,4384082,99871332.2573138417,0xb7F942d1dEE8D77793Ad3d2d6a580F8b45baB34a,0x0a7ccd64398a5bcdcc088795644b6e4d9fe99231f705f79dead9110b8958c862,1565
46,100,4384082,99871331.2573138417,0x836949e91D9D24a6F80d292Bed3E239Ac20937E4,0x6d96859206ae71bf985753a551912200261636ca7c2a930c5b923a3fdfdbd2f6,1565
47,1.6,4384082,99871231.2573138417,0x7a8F3A32b5fC41C857ae1fe169E51946A6f7557f,0x67ee52e7ed86fb3c69750bdd875f5cf0fd9dd4a48eb682934f43de0b54d41e25,1565
50,0.35,4384085,99873684.0038633433,0xBC89f1842F591Ac198760eed7518D1270a6d773B,0x35d78bda123668c0416067e8a0a326dc0a7be5eb8b501dc33e1b31719ab87a3d,1596
51,3,4384085,99873683.6538633433,0x150d525567F0e1f5453a5307226c21602828B09a,0x38a14df956900965801875ff4939b4ad821a778af583a4248f7894ef8b0483f9,1596
52,0.5,4384085,99873680.6538633433,0x410BB8E4293CdBD50a3b9CC30AEAFe076eCAB9de,0x34fd6ca896bbfb28b3af3c378137aab6fd5b2cc977d9c9baa749fed5ea164f67,1596
57,0.344777778,4384086,99877023.90237812185,0xad23973090BA72Da75A6e5a323e9Bc83188E4be6,0xef2516d15152935859f2e4273133ceaa1f37e6d982450b7b4525ddcfb61413fe,1640
56,2.18,4384086,99877026.08237812185,0x2476872205110890b6FD13e4fBa60c56645514B4,0x94e128ce4284395dc2316c0a7c814e37f2ccf262d70f1e7799424f5956286626,1640
59,2.499,4384086,99877021.05860034385,0x7a8F116C05B4DbaFBAe49d5F3958dafcF368f69E,0xfc76ca2f9239106046c9db11e1ea25ee6349f0b2e1ec3f961a7e34e4d9953260,1640
54,1,4384086,99877027.28237812185,0xF2c061b8fa4cf711847FF15b4Cf7293407833502,0x5b2c74cdde1298dab23671d3fcc4c5a5440a263d1c1c46873305b79c57fce844,1640
53,2.5,4384086,99877029.78237812185,0x1A6A281654EACE7964bD9FA6C2D27384F236Fa65,0xe4a3742098c31e15e483b4b4bb1457933696c2a084400b8fd8f5ec8df966c367,1640
55,0.2,4384086,99877026.28237812185,0xaec851e352CA47534ff2B0867614320a32259302,0x407e5c814bd472bcf29d4eb494a2096841c3247c0d7e864c987ae90e628a5005,1640
58,2.499,4384086,99877023.55760034385,0xE09c6e243cc5Be4FA5D3D954520014508f57e638,0xddeb4d0f54082f6222bd1452cecff27576cb0f698007cbbd26993b46847105a1,1640
60,2.5,4384089,99822897.1635608741,0x8075ddC91c6d521BaDFbF8C1B7Bf37ad47716FB9,0x33595f49e2edf5b652bd56b981124753cb031f434f8862c76fb491bc558581a6,1702
61,3.5,4384089,99822894.6635608741,0x18E27115e8c5B42927C4bEf71c73454A0c7eBEE8,0x0bb16e38fe02ffdc8476ba725b9bf8896847cbc3c6bcb329b45388bbc25e4e19,1702
62,2.5,4384089,99822891.1635608741,0xEA56152D94D6DC1d69c90e1Bb4a2ef8c79D4d49D,0x2d6720bca06a414b03225f89ecaeb2df26c4411ffeb8cc084863a211517e3813,1702
63,4.816514879,4384089,99822888.6635608741,0x62a98395A16d0050D55a4C575daF1048bC9cb023,0x24a32918ac0e95f219b95a095cf4b2551d7633d0277900d8e2b26bf0d725f1c0,1702
64,2.499,4384089,99822883.8470459951,0x875352192B702a50a92c823824bD572D8b3A3A39,0xff6997dad261ba076bff89181b4777ce191418c9262cdc27ebecc7feb5e908e6,1702
65,2.499,4384089,99822881.3480459951,0x02B6c4f2D73741cb797798113E5CBB8393A46D63,0x7f8b82e8e37aa12dc8f0f218893dc25d9ce74bb1f100019d4ca2f8e81e2a1af7,1702
66,2.5,4384090,99825318.3858050705,0x90c07A0BE7f5be0AD5e3f6065f25CDB5223Bd51B,0x5895ffd9c1d0171a5e97d50934285ca291f99f8fbf4e49048fdb1bf8ea09f353,1726
67,2.04,4384090,99825315.8858050705,0x386aa2A0E5E4dEe60e633EDaCE1f6944Ca66AEF0,0x97e54c300cc25491cf4d5e709ef078acc6ad719d780417f2a72b2131c13d02fe,1726
70,1.492,4384091,99828064.81626552545,0xe2D1602160700c2790a97e97a154A9C6C29aB9c0,0x89e7439e06c788984d9eaa116ae0005edb9e1e978e662f51c2843a64e9c185b4,1754
71,5,4384091,99828063.32426552545,0xD09F7bDDd78685CE26Ae6684e42c8c942f128445,0xce77ee752789142de76a66e54695b1e371332ac370e4940de1c02469571ed202,1754
69,1,4384091,99828065.81626552545,0x01E2f9Ba53b6Cb91e7f158090D24ebBcAdF0C564,0x818f015651cd8b8e3020e3930c144c999e60160cdc070d5d09e2e3c01f531fda,1754
68,9.97,4384091,99828075.78626552545,0xeCE7457F54d95Afe7Cf59dCE4c0884297D7115c4,0x1eb4495aa7aca7158dbd3b7e482817c7bc0e1d6eaf572a9a2a5751e496cc44ba,1754
72,0.41,4384093,99833690.28677918295,0xe5B1Ac5B37d7c8b5f3bbE32c1bcE56839d95B1F9,0xe984824adbf059ea10982a5b48546f5b4640d36fee98073e4c3fc262bcc1472f,1814
73,0.130292314,4384093,99833689.87677918295,0xCe6Ceb1ad648A5Ca74B45Fe6e6f96e16e80e0f78,0xda4505f3eebe6fece9d5d6e18a6e94defcc176a3bbee42669a07a8e45cbfd296,1814
74,60,4384093,99833689.74648686895,0x33884e38bC141b8e6C9A7a84017b0b2BfdD2b84D,0x5924a10da9b0de01adbf9d974ee337d6663e0ff5f4e972136f5df16eb23d6796,1814
75,0.414579904,4384094,99836396.38334525465,0x3BA1b626d53647f0fef683778B27A1a4f83765aC,0xcdf7d4e04e899c382294043984b6b660641c47f416ef30009ca320435d9f3e40,1845
76,2.5,4384094,99836395.96876535065,0x5d2fA99D6C860531A052Dd5310B87512d43f3518,0x592bb48cf97e0ccb346a4b5c3fdab1e86f840a6d96302fd2fe30b43d2c81d824,1845
77,0.1,4384094,99836393.46876535065,0xFE2D60C5C957458709b4a78e43F2baC591cDABAF,0xad01bc80374f4830f365ecf214f8d4a4aa1ef0bc1982636ba298e7d37e0c129c,1845
78,1.05,4384094,99836393.36876535065,0xD268A95E5354b53756c54313E651A53482eef88C,0xa724b7494639e966a49f17bedfd8078ed839f92115494d46996ad421e58fd78d,1845
80,2.4,4384096,99784048.6288790184,0x764AfD40dA0ae14b39196939B8298536A6b72Ea4,0xf8a565bc87474b5846c6d811c2ff5d6491bc0a7a1e9f43ff220d449e1a327ade,1859
79,1.28,4384096,99784049.9088790184,0x72d39dBd1160206fd7921d331443bF3781ED3566,0x6e294c232ee674b842d0199c2eb02c15659a94f62554b298abaef499fe2d10f5,1859
81,2.5,4384099,99791169.6238890802,0x977C827A997E6cB67e70dAEaA7145B17D0CB8bDA,0xdffb32b183c0360c3e337787c9a48cc1e4e259d2666e81fd6daf15b50c34a117,1923
82,2.48,4384101,99793927.7128713572,0xE6257Fe397fbD79761aa3AdC3212D367F8B60293,0x030e2359f240b96972edf898a2ebfedde3bb75f6d7a417c82b1fa0c8e0aa7fc4,1949
83,2,4384101,99793925.2328713572,0x241A23efF19B3d0B18B17Fc5a41Ed3D10e846033,0x5ff65f984b295ee8697610cf4a3c9cf5b3641ec865bd05fc783485cf5b13c984,1949
84,2.5,4384101,99793923.2328713572,0x00B49FFa140F02e9B88829482e33015028216B67,0xfe75058006ef8dd516fde2d509877e907545c96277c681569ba0be075698f889,1949
85,0.7,4384104,99749376.78028694055,0xd02A135627224Cab666BDdE27B36b6C6d09C7323,0x471b81904eaecbeb9726dec341c9353c473b75fb3b6b429ade9307b6a751aa4c,2000
86,0.11,4384104,99749376.08028694055,0x545a368fB73312DfaadfD9A6b1c67d96c6731f59,0x8b00a3df184d71ad5c245f2d7819fa2624614250431958ffbc5a6ce4d68280c6,2000
87,0.2,4384107,99749995.6924233657,0x2CF0acC9798Ca5E99CEb3a84475AD6C5FAF4AE3B,0xb8126e23583c46dec9283036ba35ac53133b62da406f46cd87522cbf9209789c,2005
89,0.095675468809797168,4384109,99753764.0311869047,0x41A63543B871955D9c3a1DC4471C78CFf4f927c4,0x62a875fd6c497bdabcd6504f9ac3ed20060c5aa69d36cfe9efb63f5204946b49,2036
88,6,4384109,99753770.0311869047,0x060bbae03EF52F1B47db247215Da0FB87FF4B2EB,0xff7c177e3d714632433ccef76e63a02b96b95513b22720827a673842951a9e0d,2036
91,2,4384111,99757290.576568919840202832,0x2BcEbe2c42856B6015acD68076731fa1c3797e02,0x52f880525298e58d051c3b3ea9352cb21a61adaa7e0d7ba8854da465c2758144,2066
92,2.5,4384111,99757288.576568919840202832,0x4Ccaf4EA5F26555Af5846F16c68C447738f9B261,0xe8b87df42e456ce2365650ab60d814b8f6af7abfea46af05e63f960015060f88,2066
90,18.6,4384111,99757309.176568919840202832,0x41343545a12f961c005B7EFc7c5832b8026d200f,0xf6c555d13ad704f2af93f40f5bccf3e667ed9997749afe2fe6c77b2d1f280320,2066
93,5,4384113,99759821.358473829240202832,0x59b66bee5E663745B4D3A00103606Ae4b3BbA365,0xef638bf5599428c04e2db49fc5703eee9054323109700bd203cf9c39535afd05,2088
94,1.79,4384114,99762075.369442682940202832,0xF9f169d904363571adbf247965aE962e69CaDC7e,0x1ba12b63a653296a9c40464a4bdebfe2b723af19e63fb209f2bf045190556d23,2108
95,2.48,4384117,99723866.753156386440202832,0x8Fcb61016DAA38ab4C6A6150a64CaE72D6D8013B,0x87745f93765ddabad8451b17c8f9b2fb59062eeb577c526cc91565d57a8c4327,2177
96,2,4384117,99723864.273156386440202832,0xb55Be9f54C6606717a0ae67942F3fb297dF4E396,0x4562c98cc1a7733cadb88c1a9c2da3ab6e7f448de9b499fb21888a89d88a5faf,2177
97,1250,4384119,99725860.275154388440202832,0x96f0AA4251EB879290D36AE975c57A59F2A5472F,0x906f0890651efd8f4034e3eebb5f1145a31da135a23f8526c2480c43e621e5a6,2193
98,2.5,4384119,99724610.275154388440202832,0x91379f764ca2CA2ea115DfABeE7291fB46854471,0xbaf6bfa2449d3deae64fe424d8f1e2c649c0c9f175837cdb2bcf867373261d1d,2193
99,1,4384123,99727793.268905919940202832,0x39491f3a7C1E61399487899b1a37e0AedD8C71c5,0x1f7a76d67f019d1fb751e75d73485ce5923e8d29f9aca7971ff574a1cca34c52,2219
100,0.74044604,4384125,99690181.788118607190202832,0x13fF249317D28f8E4D684A15d1D9FD76EB406881,0x126ba59422f8d3051e0726f8eac4ce17fb946a857fca0f7c89a74ee6491f6f23,2271
101,2.4,4384125,99690181.047672567190202832,0x9E50A8806358173929ea743AebDAEd6198B7c073,0x58fb1a622e3a44841240404afb69a30fa02810c5f8ed69268d3aa8125e5b6099,2271
102,1,4384125,99690178.647672567190202832,0x9782b9C2c85c2E9DB211Cb6200065E312853e68c,0x0d400c4abf7a871e0942891780507b0dc1ac9cd1dedf787d0709773b390d117a,2271
104,1,4384129,99655594.605855100040202832,0xBc2FCDAa78A44f782E3ad9ac3c06B7162fd2f1cb,0x6187ff0e6ae12cfd8ffe6d147ec532791d84c259cedf98af8c1d3990282b4fa9,2332
103,1,4384129,99655595.605855100040202832,0x747c3ca2858DebB4836102f9CAc33fd412Ef64bD,0x4aae05a3a63f9a1398ed7448256146782ff3441604dd5fe5b80ae04376dee14f,2332
105,10,4384131,99660769.220014502090202832,0x00B0Ed4774f5Cb36752a3661F8248958418d4bd1,0xebe75f1e5176619cbff8ce613eeb62ddedd1b37d44520a7663484de35993b601,2368
106,0.55,4384132,99665229.904114741140202832,0x49657DFE91F0572eeF4984feB486A34f2a98eEbf,0x02257ef5db909fc9062bad668530a2ff288977a0936c3f8330fc8779368604e8,2400
107,9.997625572,4384132,99665229.354114741140202832,0xaFD2e057c1F681F6f71987234Ca32099a19a55fd,0x5538532dd7d3ba573925ccd4757d583c36577ae81846a7c98cff1ea978167efc,2400
108,4.92666728,4384132,99665219.356489169140202832,0xc36B957D33D42DCadd2963EB30374A592a0Ff5Bf,0x71ca0bd1f3dc05ab6698c785e5654d55b5e253611f1ba6327a2272144ac05b1f,2400
109,3.2,4384132,99665214.429821889140202832,0xa8426B3B569c77B1cB105C1e30FC9bAD0f097b0A,0x27b9faf9e5be0f78804b4e4154a7c5f91eef4fff3b398f8d300d3c6a27a08032,2400
110,30,4384135,99627233.443669084940202832,0x9d4096117d7FFCaD8311A1522029581D7BF6f008,0x2815f438934792e2e33e536f3490e90138b9a092c431bc8813e7f575bd863799,2422
111,2.25,4384136,99629772.295617248540202832,0x82C4ef2fEf57418A95eBbD0cd2144a8779494db3,0xcf021365da0c9dec2fbfa1364a604809c86cc8c08c83270a3b003f2bcc82365d,2439
112,10,4384136,99629770.045617248540202832,0xa1A6B18214b7870c338c547576BEC3BAabD6C482,0x8e6ec95dc651a5bedcb0024dbaa6f76514523cdadba701b896fb6a77a84d0b02,2439
117,2.5,4384138,99601276.294457100140202832,0x9AbDefBAbE7F459186b5cd58D17371B2e02AC8f8,0x4e78a45367c3b46a247dce98d848448be66abd4526ab59f4cc70603b19fa1198,2515
116,0.35,4384138,99601276.644457100140202832,0x5Be7E0A686ca387384d124B93606A80A5f8a9Ba9,0x9cc865cc4d821bbfb59bb628d65385926a914506cc93feaf9663fe4b2afe6d50,2515
115,8.85,4384138,99601285.494457100140202832,0x30D381605485745197162f89fd80937d890b5358,0x634c4b79a29fd9a555e9725ae069aea5fc6c4f93454fc26730962f79f1009b09,2515
113,88,4384138,99601374.164457100140202832,0x00e6224Fd18cbBC2e20A5CBd2103D6E8CEA741F8,0x128e4db3ce937fdc9ec743a5b8804cccccdf7ba4e732f5ed3d4f2da15996d646,2515
114,0.67,4384138,99601286.164457100140202832,0x9671Ec2A08783bC9219994cbbf46664750E9552C,0xc0968c4bfab0ac5ed39fe8832b43319c23f88dc394277caed1fbbeb6052fe0bd,2515
118,0.11,4384145,99574729.577812508040202832,0x0E34fb8Fb1Ec873118824f75eDf0f04FA2462f0a,0x24a527d8eb31dfb92e05b6ae860136d4665b82d4f56f504f36b35c7209c0da2d,2592
119,2.5,4384145,99574729.467812508040202832,0x831cEAd0805ac7cF4A744e9e8d088317eab8D0C0,0x73ffa4ecdabcd8c640b50743cac6a4343a1fc01e81cad80dd0a2cb9c11c475d4,2592
120,2.5,4384146,99575698.064445451140202832,0x100D5A3e02d260B2e2878f1d35Fc298168e28667,0x29886d4ac326b2fd02a5ad00eb3ea62597ecf4396e8a808630a0395a6ad2218b,2598
121,1.65,4384147,99580484.836476102490202832,0xA078d63e9Bd71eBCAB4533373ac257B6b6388202,0xcc2b0fcdddb68d48092d4a988074d266597ade1a0fccd5b48fc0f2d336c9ffac,2628
122,0.545912143754872598,4384149,99581741.998157874890202832,0x8125db1A3c1F5159CDcF8b73163bfd2C74e89431,0x3307ffb10bc184f3c2d728fa5229b2b5e36a9d29b4f88ae010041e73721f82fe,2636
123,0.091,4384149,99581741.452245731135330234,0x44C51816D2B75CbD5cf63B2c8107E6f8D9a39529,0xd1d85f964a93f61db8abfdbc23fa61a31ece9094f563a20a77a895491dc4778d,2636
126,25,4384150,99549550.034954981985330234,0x4251701B32E8840B9c94f2b3a07f05DddC46E095,0x96422ad87f8107d84e9ed55a6c5e8bdd11a78d396932d2d5d60c5405148a5623,2668
128,2.476656392,4384150,99549522.534954981985330234,0x0079B1850439296b6b57f389854984C3d72C4e2E,0xe39cbf4cbb72512ca9389e8de42fba2a2770ed8282f749a595de2126fab15f76,2668
127,2.5,4384150,99549525.034954981985330234,0xA93De867Fd1d6692d64a72f66ED246f4b1005f67,0x3a4b0ac8aeef4bbca58c2d36d2bdc23e3bc2603bdca7f0ad051848978d4b7f4f,2668
125,2.5,4384150,99549552.534954981985330234,0x7808ec122f9045dB7effBC8edD97419062815da8,0x50c6558549233d09edeccdab55f6c55805803fe28d70144e1c94b3205cc99f7c,2668
124,2.5,4384150,99549555.034954981985330234,0x92De53e8b4b48d96216b3f8184C8614B89E296aF,0x0a80605e22e5c8f922ce122dfc5474192a444eff3fe8bd0d3e98e2fb0848e780,2668
129,6,4384153,99554146.354745883485330234,0x0DdD9DD9B77d3Ba97B2496e3590787DeF887a95b,0xa6d366672a54890a404ec8ee7da58f026d04419c6962b164cec0ba06d1da39e6,2696
130,2,4384153,99554140.354745883485330234,0x7ace577eE9b718FD702Ad1E11D30c06521d5d498,0x0df7ec67437729147ee316113721624d33dac17c276accced363f17a7b3f8947,2696
131,0.5,4384156,99525408.126366686235330234,0x8e4aeA8b5De633b557eBc99De158710e6F5CEd6e,0x968678bc37a21cd670f8ea5cd296cc45f83337c2bc547440e5398c1a1a5a659f,2742
132,2.49,4384156,99525407.626366686235330234,0x7DB348891bBaf5bbe67cf786CfEce9dB3216ef28,0x34d24bf7ad4d0721d3389b978fdddf2be25cb0671f862d1cc0de983517da2931,2742
133,2.5,4384156,99525405.136366686235330234,0xE7BE34f6AD1782a5d392a87eadcaBEF6B0917029,0x36c7efe500daa5d9f1b659db3fd8d68004cb67244565a161ce6b1d19d3446add,2742
134,2.5,4384158,99530481.941246882385330234,0x5E2DFE22E205AAEBdDe42827DD07a5e49671CFA8,0x60a6831edbd62a19e22e8cbc69e5f5b1071cda8ded631f50bdffcdbf6f9dcc0c,2772
135,10,4384160,99534135.286611270435330234,0xc630A9abA61A5318f71C94F231a856e4A9B08942,0x7bc996593beeda898d3d49027c804a695147d4c8888a15b6e70a17f5290b50bd,2794
137,0.99,4384164,99506890.171142860885330234,0x394137c5E78867d7fBC43E010EDCA6Aaa584b95B,0xe0e086f4b4d79930bcef4dae87a815f042b6c2317d365d4f33b6dbd91a04cd65,2841
136,2,4384164,99506892.171142860885330234,0x0072ecaC25d863a2c44a78a28930bF4D2b83aAB1,0x716520b568edb7fd5ca2b7c6344e2f2418a6026f2213c102fe23bb95b6c55b25,2841
141,0.195,4384165,99482676.467393163435330234,0x83721A0c4eF846F850deE3d9a88728d9816427e6,0x74f88797fe0ed2f8267eb1bbf18afb6dc09f4ab332a4250834f0db9224ad08f2,2900
140,2,4384165,99482678.467393163435330234,0x35c98b99d18861bfd339c7B1F4b6B965E252eaEb,0x50a15e663c269c414cbad2f1f1717411d205731a29c4f8dc948ef54077244302,2900
138,2.5,4384165,99482681.967393163435330234,0xf985acD5573Eefdd81Bc2e5E33d2a5365Fd370b7,0xc50fc668ecae074201758ed9a836fe5a37432394b49364d52a51ed5e492d5e7c,2900
139,1,4384165,99482679.467393163435330234,0xb85eA56Fd1DABE8b494754D31a778dF0deB14527,0x47523eafc6bd8827083f12ee521e41e463a7cd0b22b40eb39876de17c312f25b,2900
142,1.511192186,4384166,99484959.387039238535330234,0x0e424dF3a20c3218231e6163D68dC59EaBCaD426,0x7f44d1428d380bb49eb50040df1e04474b7e5c6f7ce37f1bc3546e2858754165,2913
